titulacion_id,cod_titulacion,des_titulacion,cod_tipo_estudio,des_tipo_estudio
1,7700001,Grado Abierto UC3M en Ciencias Sociales y Humanidades,G,GRADO
2,7700002,Grado Abierto UC3M en Ingeniería,G,GRADO
3,2500030,Grado en Administración de Empresas,G,GRADO
4,2503783,Grado en Ciencia e Ingeniería de Datos,G,GRADO
5,2504235,"Grado en Ciencia, Tecnología y Humanidades",G,GRADO
6,2504022,Grado en Ciencias,G,GRADO
7,2500024,Grado en Ciencias Políticas,G,GRADO
8,2500025,Grado en Comunicación Audiovisual,G,GRADO
9,2500026,Grado en Derecho,G,GRADO
10,2500119,Grado en Economía,G,GRADO
11,2503790,Grado en Empresa y Tecnología,G,GRADO
12,2500027,Grado en Estadística y Empresa,G,GRADO
13,2503917,Grado en Estudios Culturales,G,GRADO
14,2502997,Grado en Estudios Internacionales,G,GRADO
15,2503809,"Grado en Filosofía, Política y Economía",G,GRADO
16,2502922,"Grado en Filosofía, Política y Economía",G,GRADO
17,2500155,Grado en Finanzas y Contabilidad,G,GRADO
18,2503593,Grado en Gestión de la Información y Contenidos Digitales,G,GRADO
19,2503333,Grado en Gestión de Seguridad Pública,G,GRADO
20,2503797,Grado en Historia y Política,G,GRADO
21,2500120,Grado en Humanidades,G,GRADO
22,2500131,Grado en Información y Documentación (Semipresencial),G,GRADO
23,2501584,Grado en Ingeniería Aeroespacial,G,GRADO
24,2501585,Grado en Ingeniería Biomédica,G,GRADO
25,2500045,Grado en Ingeniería de Comunicaciones Móviles y Espaciales,G,GRADO
26,2502850,Grado en Ingeniería de la Energía,G,GRADO
27,2502665,Grado en Ingeniería de la Seguridad,G,GRADO
28,2500184,Grado en Ingeniería de Sonido e Imagen,G,GRADO
29,2500188,Grado en Ingeniería Eléctrica,G,GRADO
30,2500196,Grado en Ingeniería Electrónica Industrial y Automática,G,GRADO
31,2501586,Grado en Ingeniería en Tecnologías de Telecomunicación,G,GRADO
32,2502457,Grado en Ingeniería en Tecnologías Industriales,G,GRADO
33,2503905,Grado en Ingeniería Física,G,GRADO
34,2500046,Grado en Ingeniería Informática,G,GRADO
35,2500048,Grado en Ingeniería Mecánica,G,GRADO
36,2504462,Grado en Ingeniería Robótica,G,GRADO
37,2500159,Grado en Ingeniería Telemática,G,GRADO
38,2503904,Grado en Matemática Aplicada y Computación,G,GRADO
39,2500028,Grado en Periodismo,G,GRADO
40,2500118,Grado en Relaciones Laborales y Empleo,G,GRADO
41,2500187,Grado en Sociología,G,GRADO
42,2500029,Grado en Turismo,G,GRADO
43,7000000,Doble Grado en Derecho y Administración de Empresas,G,GRADO
44,7000001,Doble Grado en Derecho y Ciencias Políticas,G,GRADO
45,7000002,Doble Grado en Derecho y Economía,G,GRADO
46,7000003,Doble Grado en Ingeniería Informática y Administración de Empresas,G,GRADO
47,7000004,Doble Grado en Periodismo y Comunicación Audiovisual,G,GRADO
48,7000105,Doble Grado en Ciencias Políticas y Sociología,G,GRADO
49,7000435,Doble Grado en Periodismo y Humanidades,G,GRADO
50,7000616,Doble Grado en Estudios Internacionales y Administración de Empresas,G,GRADO
51,7000617,Doble Grado en Estudios Internacionales y Ciencias Políticas,G,GRADO
52,7000618,Doble Grado en Estudios Internacionales y Derecho,G,GRADO
53,7000679,Doble Grado en Estudios Internacionales y Economía,G,GRADO
54,7001063,Doble Grado Ciencia e Ingeniería de Datos - Ingeniería en Tecnologías de Telecomunicación,G,GRADO
55,7001064,Doble Grado en Ingeniería Física e Ingeniería en Tecnologías Industriales,G,GRADO
56,3000543,Máster Interuniversitario en Multimedia y Comunicaciones,M,MÁSTER
57,4313506,Máster Universitario en Acceso al Ejercicio de la Abogacía por la Universidad Carlos III de Madrid,M,MÁSTER
58,4317023,Máster Universitario en Alta Dirección en Seguridad Internacional por la Universidad Carlos III de Madrid,M,MÁSTER
